longitude,latitude,species_name,common_name
34.8537742084,0.2551750575,Eurytela hiarbas,Pied Piper
34.856818671,0.2805945627,Protogoniomorpha parhassus,Common Mother-of-Pearl
34.8571155876,0.2811487851,Telchinia acerata,Falls Acraea
34.8573838085,0.2813526306,Telchinia penelope,Penelope Acraea
34.8573408932,0.2810522268,Telchinia serena,Dancing Amber
34.8571530547,0.2812035175,Telchinia penelope,Penelope Acraea
34.8577330252,0.2862218345,Charaxes,Emperor Butterflies
34.8578188559,0.2865007808,Celaenorrhinus leucocera,Common Spotted Flat
34.8582265517,0.2865007808,Apallaga galenus,Common Small Sprite
34.8579583308,0.2867153548,Telchinia lycoa,Lycoa Acraea
34.8580441615,0.2862862068,Nepheronia thalassina,Cambridge Vagrant
34.8580227038,0.2863613077,Telchinia lycoa,Lycoa Acraea
34.8582479655,0.286468315,Vanessula milca,Lady's Maid Butterfly
34.8578777807,0.2864589548,Telchinia penelope,Penelope Acraea
34.8824716667,0.2167866667,Acraeini,"Acraeas, Actinotes, and Allies"
34.8863416667,0.217395,Charaxes,Emperor Butterflies
34.889855,0.2194616667,Cyrestis camillus,African Map Butterfly
34.8896033333,0.2188166667,Anthene definita,Common Ciliate Blue
34.88252,0.2168716667,Telchinia,
34.8560927366,0.2858082641,Junonia sophia,Little Pansy
34.8561529357,0.2893334227,Bicyclus safitza,Common Bush Brown
34.8553848267,0.2875434956,Amauris echeria,Chief
34.8551674973,0.2870987485,Junonia gregorii,Gregori’s Brown Pansy
34.8571347649,0.286960467,Hypolimnas monteironis,Scarce Blue Diadem
34.8565979852,0.278202936,Salanoemia similis,
34.8563912874,0.2737963948,Evena crithea,Common Pathfinder
34.7923772997,-0.0467687,Nymphalidae,Brush-footed Butterflies
34.8573558825,0.3650575129,Junonia gregorii,Gregori’s Brown Pansy
34.8550943123,0.3624200296,Leptosia alcesta,African Wood White
34.8707217674,0.3453092042,Evena crithea,Common Pathfinder
34.856474,0.29134,Cymothoe sangaris,Blood-red Glider
34.9203383178,-0.1744385349,Libythea lepita,Common Beak
34.8704982319,0.2393207882,Amauris echeria,Chief
34.8705262244,0.2454621793,Ceratrichiini,
34.8846033333,0.2270116667,Junonia sophia,Little Pansy
34.884625,0.226395,Nymphalidae,Brush-footed Butterflies
34.88199,0.229365,Protogoniomorpha parhassus,Common Mother-of-Pearl
34.88199,0.229365,Papilionoidea,Butterflies
34.88199,0.229365,Amauris albimaculata,Layman
34.8826683333,0.2295966667,Junonia gregorii,Gregori’s Brown Pansy
34.871561532,0.2398246736,Telchinia peneleos,Peneleos Acraea
34.867135,0.235315,Belenois aurota,Pioneer White
34.8665133333,0.238665,Evena crithea,Common Pathfinder
34.8670566667,0.238325,Evena crithea,Common Pathfinder
34.8676883333,0.24484,Junonia oenone,Blue-spot Pansy
34.7740793,0.307894,Evena crithea,Common Pathfinder
34.856474,0.29134,Nymphalidae,Brush-footed Butterflies
34.7740793,0.307894,Junonia gregorii,Gregori’s Brown Pansy
34.8656128461,0.2409274892,Evena crithea,Common Pathfinder
34.8586463928,0.2899467244,Evena crithea,Common Pathfinder
34.8799559464,0.3381114426,Afriodinia,
34.8799559464,0.3381114426,Protogoniomorpha parhassus,Common Mother-of-Pearl
34.8799559464,0.3381114426,Euphaedra medon,Widespread Forester
34.8799559464,0.3381114426,Nymphalidae,Brush-footed Butterflies
34.8799559464,0.3381114426,Papilio phorcas,Apple-green Swallowtail
34.8799559464,0.3381114426,Melanitis leda,Common Evening Brown
34.8799559464,0.3381114426,Phalanta eurytis,Forest Leopard
34.8799559464,0.3381114426,Hesperiinae,Grass Skippers
34.8799559464,0.3381114426,Neptis goochii,Streaked Sailer
34.8799559464,0.3381114426,Evena crithea,Common Pathfinder
34.9003096522,0.3227291106,Eurema desjardinsii regularis,African Angled Grass Yellow
34.8641966667,0.2369866667,Hypolimnas anthedon,Variable Diadem
34.866455,0.2389616667,Hypolimnas anthedon,Variable Diadem
34.902618717,0.0926660557,Telchinia lycoa,Lycoa Acraea
34.899979809,0.0825900042,Protogoniomorpha parhassus,Common Mother-of-Pearl
34.9048628196,0.0894737614,Amauris albimaculata,Layman
34.9070899992,0.090690198,Evena crithea,Common Pathfinder
34.9060123746,0.090190008,Melanitis,Evening Browns
34.7086305544,0.0474539717,Papilio demodocus,Citrus Swallowtail
34.7083167359,0.0475310852,Hypolimnas misippus,Danaid Eggfly
34.7084075958,0.0475374555,Papilio nireus,Narrow Green-banded Swallowtail
34.7515480147,0.2776323565,Papilio demodocus,Citrus Swallowtail
34.8668167302,0.2367642822,Charaxes cithaeron,Blue-spotted Charaxes
34.8668167302,0.2367642822,Papilio phorcas,Apple-green Swallowtail
34.8668167302,0.2367642822,Evena crithea,Common Pathfinder
34.8668167302,0.2367642822,Bematistes aganice,Wanderer
34.8868935183,0.2299713129,Cymothoe,typical gliders
34.884879311,0.2266295098,Acraeini,"Acraeas, Actinotes, and Allies"
34.8881169762,0.2183788336,Papilio phorcas,Apple-green Swallowtail
34.8846734644,0.2264541904,Telchinia perenna,Falcate Acraea
34.8846734644,0.2264541904,Junonia sophia,Little Pansy
34.8849,0.22657,Junonia temora,Eastern Blue Mother-of-Pearl
34.8975487838,0.2248470059,Telchinia penelope,Penelope Acraea
34.8975487838,0.2248470059,Euphaedra medon,Widespread Forester
34.8975487838,0.2248470059,Telchinia quirinalis,Dusky-bordered Amber
34.8975487838,0.2248470059,Junonia temora,Eastern Blue Mother-of-Pearl
34.8975487838,0.2248470059,Cymothoe herminia,Herminia Glider
34.8975487838,0.2248470059,Nymphalidae,Brush-footed Butterflies
34.8977756089,0.224595097,Junonia temora,Eastern Blue Mother-of-Pearl
34.8975487838,0.2248470059,Junonia,Buckeyes & Pansies
34.8975487838,0.2248470059,Junonia gregorii,Gregori’s Brown Pansy
34.8975487838,0.2248470059,Nymphalinae,"Checkerspots, Anglewings, Peacocks, and Allies"
34.8975487838,0.2248470059,Euptera elabontas,
34.8975487838,0.2248470059,Nymphalidae,Brush-footed Butterflies
34.8975487838,0.2248470059,Neptis,Typical Sailers
34.8975487838,0.2248470059,Lycaenidae,Gossamer-winged Butterflies
34.8695076017,0.23763896,Junonia gregorii,Gregori’s Brown Pansy
34.7740793,0.307894,Protogoniomorpha parhassus,Common Mother-of-Pearl
34.8939252949,0.2424279485,Amauris tartarea,Monk
34.8862570524,0.2325507327,Hypolimnas monteironis,Scarce Blue Diadem
34.7740793,0.307894,Junonia gregorii,Gregori’s Brown Pansy
34.9336431439,0.280972934,Amauris,Clerics
34.8819583278,0.3612865929,Cymothoe,typical gliders
34.873851903,0.3093737705,Cymothoe,typical gliders
34.833615526,0.3552142163,Tagiadinae,Flat Skippers and Allies
34.6778320563,0.3359385452,Junonia gregorii,Gregori’s Brown Pansy
34.9236245284,0.2125003347,Hypolimnas monteironis major,
34.9236245284,0.2125003347,Amauris albimaculata,Layman
34.896345,0.2199616667,Euphaedra,
34.881255,0.20478,Acraeini,"Acraeas, Actinotes, and Allies"
34.8968916667,0.2214533333,Nymphalidae,Brush-footed Butterflies
34.8966633333,0.220675,Cymothoe herminia,Herminia Glider
34.8920466667,0.2365216667,Papilio phorcas,Apple-green Swallowtail
34.891975,0.2361116667,Junonia sophia,Little Pansy
34.8975916667,0.24068,Pseudacraea lucretia,False Chief
34.8955283333,0.2346033333,Telchinia lycoa,Lycoa Acraea
34.897055,0.2350666667,Junonia gregorii,Gregori’s Brown Pansy
34.89457,0.2346333333,Telchinia peneleos,Peneleos Acraea
34.8925466667,0.2360333333,Junonia terea,Soldier Commodore
34.89327,0.2356666667,Vanessula milca,Lady's Maid Butterfly
