longitude,latitude,species_name,source,geometry,lon,lat
34.7538376517,-0.0903283107,Hesperiinae,iNaturalist,POINT (34.75383765170001 -0.0903283107),34.7538376517,-0.0903283107
34.8840083333,0.22775,Amauris echeria,iNaturalist,POINT (34.8840083333 0.22775),34.8840083333,0.22775
34.8863909116,0.19948816,Hypolimnas dinarcha grandis,iNaturalist,POINT (34.8863909116 0.19948816),34.8863909116,0.19948816
34.7473068696,-0.1124718654,Junonia terea,iNaturalist,POINT (34.7473068696 -0.1124718654),34.7473068696,-0.1124718654
34.8806310808,0.2553078861,Hypolimnas dinarcha,iNaturalist,POINT (34.8806310808 0.2553078861),34.8806310808,0.2553078861
34.866452,0.238867,Evena crithea,iNaturalist,POINT (34.866452 0.238867),34.866452,0.238867
34.868723378,0.2993329357,Belenois aurota aurota,iNaturalist,POINT (34.868723378 0.2993329357),34.868723378,0.2993329357
34.8658083156,0.3479009575,Evena crithea,iNaturalist,POINT (34.8658083156 0.3479009574999999),34.8658083156,0.3479009575
34.8561335,0.2916832,Euphaedrana,iNaturalist,POINT (34.8561335 0.2916832),34.8561335,0.2916832
34.8954208254,0.2307626239,Cymothoe hobarti hobarti,iNaturalist,POINT (34.8954208254 0.2307626239),34.8954208254,0.2307626239
34.868345,0.2342816667,Bicyclus dentata,iNaturalist,POINT (34.868345 0.2342816667),34.868345,0.2342816667
34.8968916667,0.2214533333,Nymphalidae,iNaturalist,POINT (34.8968916667 0.2214533333),34.8968916667,0.2214533333
35.0195388804,0.0723509594,Junonia gregorii,iNaturalist,POINT (35.0195388804 0.0723509594),35.0195388804,0.0723509594
34.9031686977,0.2996543654,Bebearia,iNaturalist,POINT (34.9031686977 0.2996543654),34.9031686977,0.2996543654
34.877124742,0.2056135014,Cymothoe hobarti,iNaturalist,POINT (34.877124742 0.2056135014),34.877124742,0.2056135014
34.8633624127,0.2786397443,Hesperiinae,iNaturalist,POINT (34.8633624127 0.2786397442999999),34.8633624127,0.2786397443
34.7582556633,-0.0536682218,Catopsilia,iNaturalist,POINT (34.7582556633 -0.0536682218),34.7582556633,-0.0536682218
34.8925822851,0.2413982088,Charaxes brutus,iNaturalist,POINT (34.8925822851 0.2413982088),34.8925822851,0.2413982088
34.8715294229,0.1977957736,Bebearia,iNaturalist,POINT (34.8715294229 0.1977957736),34.8715294229,0.1977957736
34.9060123746,0.090190008,Melanitis,iNaturalist,POINT (34.9060123746 0.090190008),34.9060123746,0.090190008
34.863055,0.3533333333,Junonia gregorii,iNaturalist,POINT (34.863055 0.3533333332999999),34.863055,0.3533333333
34.7637488678,-0.0804474222,Junonia chorimene,iNaturalist,POINT (34.7637488678 -0.0804474222),34.7637488678,-0.0804474222
34.8822154557,0.2108650854,Protogoniomorpha parhassus,iNaturalist,POINT (34.8822154557 0.2108650854),34.8822154557,0.2108650854
34.882755,0.21739,Papilionoidea,iNaturalist,POINT (34.882755 0.21739),34.882755,0.21739
34.873851903,0.3093737705,Cymothoe,iNaturalist,POINT (34.873851903 0.3093737705),34.873851903,0.3093737705
34.87889294,0.2806357914,Leptosia alcesta,iNaturalist,POINT (34.87889294 0.2806357914),34.87889294,0.2806357914
34.9239227703,0.2121903925,Libythea labdaca,iNaturalist,POINT (34.9239227703 0.2121903925),34.9239227703,0.2121903925
34.8620697124,0.233636054,Vanessula milca latifasciata,iNaturalist,POINT (34.8620697124 0.233636054),34.8620697124,0.233636054
34.7619086131,-0.0970469696,Papilio demodocus,iNaturalist,POINT (34.7619086131 -0.0970469696),34.7619086131,-0.0970469696
34.9083695781,0.2220404731,Belenois raffrayi,iNaturalist,POINT (34.9083695781 0.2220404731),34.9083695781,0.2220404731
34.8580441615,0.2862862068,Nepheronia thalassina,iNaturalist,POINT (34.8580441615 0.2862862068),34.8580441615,0.2862862068
34.8792498931,0.2462102718,Junonia gregorii,iNaturalist,POINT (34.8792498931 0.2462102718),34.8792498931,0.2462102718
34.7450478,-0.1168941381,Danaus chrysippus dorippus,iNaturalist,POINT (34.7450478 -0.1168941381),34.7450478,-0.1168941381
34.9203383178,-0.1744385349,Libythea lepita,iNaturalist,POINT (34.9203383178 -0.1744385349),34.9203383178,-0.1744385349
34.8700415205,0.2291150632,Evena crithea,iNaturalist,POINT (34.8700415205 0.2291150632),34.8700415205,0.2291150632
34.8747790933,0.2337416447,Telchinia esebria,iNaturalist,POINT (34.8747790933 0.2337416446999999),34.8747790933,0.2337416447
34.886498,0.231845,Anthene,iNaturalist,POINT (34.886498 0.231845),34.886498,0.231845
34.7086305544,0.0474539717,Papilio demodocus,iNaturalist,POINT (34.7086305544 0.0474539717),34.7086305544,0.0474539717
34.8901894202,0.2260789409,Euphaedra medon,iNaturalist,POINT (34.8901894202 0.2260789409),34.8901894202,0.2260789409
34.8571155876,0.2811487851,Telchinia acerata,iNaturalist,POINT (34.8571155876 0.2811487851000001),34.8571155876,0.2811487851
34.8547023381,0.3163918935,Tagiadinae,iNaturalist,POINT (34.8547023381 0.3163918935),34.8547023381,0.3163918935
34.891975,0.2361116667,Junonia sophia,iNaturalist,POINT (34.891975 0.2361116667),34.891975,0.2361116667
34.7522926994,-0.1102839151,Polyommatini,iNaturalist,POINT (34.7522926994 -0.1102839151),34.7522926994,-0.1102839151
34.8939893793,0.214689051,Euphaedra rex,iNaturalist,POINT (34.8939893793 0.214689051),34.8939893793,0.214689051
34.792228,-0.046678,Hypolimnas misippus,iNaturalist,POINT (34.792228 -0.046678),34.792228,-0.046678
34.8284060842,0.2782523192,Junonia temora,iNaturalist,POINT (34.8284060842 0.2782523192),34.8284060842,0.2782523192
34.8808301676,0.285497608,Junonia sophia,iNaturalist,POINT (34.8808301676 0.285497608),34.8808301676,0.285497608
34.894929007,0.2914146643,Ypthima asterope,iNaturalist,POINT (34.894929007 0.2914146642999998),34.894929007,0.2914146643
34.9336431439,0.280972934,Amauris,iNaturalist,POINT (34.9336431439 0.2809729340000001),34.9336431439,0.280972934
35.2238866667,0.102655,Junonia sophia,iNaturalist,POINT (35.2238866667 0.102655),35.2238866667,0.102655
34.8590488215,0.2502153318,Acraeini,iNaturalist,POINT (34.8590488215 0.2502153318),34.8590488215,0.2502153318
34.8782022929,0.1966043262,Aterica galene,iNaturalist,POINT (34.8782022929 0.1966043262),34.8782022929,0.1966043262
34.9110233411,0.2659712493,Euryphura isuka,iNaturalist,POINT (34.9110233411 0.2659712492999998),34.9110233411,0.2659712493
34.8803580056,0.2011191888,Junonia gregorii,iNaturalist,POINT (34.8803580056 0.2011191888),34.8803580056,0.2011191888
34.8725730829,0.3039161293,Mycalesina,iNaturalist,POINT (34.8725730829 0.3039161293),34.8725730829,0.3039161293
34.8459335185,0.2957767944,Apallaga opalinus,iNaturalist,POINT (34.8459335185 0.2957767944),34.8459335185,0.2957767944
34.8592971042,0.297738755,Euphaedra medon,iNaturalist,POINT (34.8592971042 0.2977387550000001),34.8592971042,0.297738755
35.2619860321,-0.1599751197,Junonia sophia,iNaturalist,POINT (35.2619860321 -0.1599751197),35.2619860321,-0.1599751197
34.8823424743,0.2055970043,Vanessula milca,iNaturalist,POINT (34.8823424743 0.2055970043),34.8823424743,0.2055970043
34.8975916667,0.24068,Pseudacraea lucretia,iNaturalist,POINT (34.89759166670001 0.2406800000000001),34.8975916667,0.24068
34.899979809,0.0825900042,Protogoniomorpha parhassus,iNaturalist,POINT (34.899979809 0.0825900042),34.899979809,0.0825900042
34.8877266794,0.2472234669,Euphaedra rattrayi coeruleomaculata,iNaturalist,POINT (34.8877266794 0.2472234668999999),34.8877266794,0.2472234669
35.1904466667,0.40027,Eretis,iNaturalist,POINT (35.1904466667 0.4002700000000001),35.1904466667,0.40027
34.9407733333,0.181015,Mylothris,iNaturalist,POINT (34.9407733333 0.181015),34.9407733333,0.181015
34.8748836423,0.3338475187,Amauris echeria jacksoni,iNaturalist,POINT (34.8748836423 0.3338475187),34.8748836423,0.3338475187
34.8707217674,0.3453092042,Evena crithea,iNaturalist,POINT (34.8707217674 0.3453092042),34.8707217674,0.3453092042
34.8874788958,0.2822190357,Junonia sophia infracta,iNaturalist,POINT (34.8874788958 0.2822190357),34.8874788958,0.2822190357
34.8626874552,0.2915489184,Afriodinia neavei,iNaturalist,POINT (34.8626874552 0.2915489184),34.8626874552,0.2915489184
34.8558824771,0.2707784867,Libythea labdaca,iNaturalist,POINT (34.8558824771 0.2707784867),34.8558824771,0.2707784867
35.2794856881,-0.1251403666,Junonia,iNaturalist,POINT (35.2794856881 -0.1251403666),35.2794856881,-0.1251403666
34.7518631,0.2827307,Protogoniomorpha parhassus,iNaturalist,POINT (34.7518631 0.2827307),34.7518631,0.2827307
34.8702086954,0.2421689086,Euphaedra rattrayi coeruleomaculata,iNaturalist,POINT (34.8702086954 0.2421689086),34.8702086954,0.2421689086
34.971905,0.0799,Heliconiinae,iNaturalist,POINT (34.971905 0.0799),34.971905,0.0799
34.902108,0.222687,Telchinia,iNaturalist,POINT (34.902108 0.222687),34.902108,0.222687
35.0107231139,-0.2372354267,Junonia sophia infracta,iNaturalist,POINT (35.0107231139 -0.2372354267),35.0107231139,-0.2372354267
34.9034011737,0.2506623617,Bematistes macarista,iNaturalist,POINT (34.9034011737 0.2506623617),34.9034011737,0.2506623617
34.8550943123,0.3624200296,Leptosia alcesta,iNaturalist,POINT (34.8550943123 0.3624200295999999),34.8550943123,0.3624200296
34.7740793,0.307894,Evena crithea,iNaturalist,POINT (34.7740793 0.3078939999999999),34.7740793,0.307894
34.833615526,0.3552142163,Tagiadinae,iNaturalist,POINT (34.833615526 0.3552142163),34.833615526,0.3552142163
34.8773981553,0.2512999052,Vanessula milca latifasciata,iNaturalist,POINT (34.8773981553 0.2512999052),34.8773981553,0.2512999052
34.8070382844,0.310640542,Euphaedra rex,iNaturalist,POINT (34.8070382844 0.3106405420000001),34.8070382844,0.310640542
34.8867993041,0.2554069448,Junonia temora,iNaturalist,POINT (34.8867993041 0.2554069448),34.8867993041,0.2554069448
34.8744814646,0.2283955574,Amauris echeria,iNaturalist,POINT (34.8744814646 0.2283955574),34.8744814646,0.2283955574
35.134015,0.0650733333,Eurytela dryope,iNaturalist,POINT (35.134015 0.0650733333),35.134015,0.0650733333
34.8388558728,0.2934057988,Telchinia peneleos,iNaturalist,POINT (34.8388558728 0.2934057988),34.8388558728,0.2934057988
34.9449777778,0.1857972222,Nireopapilio,iNaturalist,POINT (34.9449777778 0.1857972222),34.9449777778,0.1857972222
35.1617533333,-0.2686183333,Zizula hylax,iNaturalist,POINT (35.1617533333 -0.2686183333),35.1617533333,-0.2686183333
34.897055,0.2350666667,Junonia gregorii,iNaturalist,POINT (34.897055 0.2350666667),34.897055,0.2350666667
34.8630279162,0.3211103644,Nymphalidae,iNaturalist,POINT (34.863027916200004 0.3211103644),34.8630279162,0.3211103644
34.8569198627,0.3481326899,Aterica galene,iNaturalist,POINT (34.8569198627 0.3481326899),34.8569198627,0.3481326899
34.8844867,0.2920367,Amauris echeria jacksoni,iNaturalist,POINT (34.884486700000004 0.2920367),34.8844867,0.2920367
34.7493592876,0.3188809558,Neptis saclava,iNaturalist,POINT (34.7493592876 0.3188809558),34.7493592876,0.3188809558
34.7713327146,0.1733127054,Nepheronia pharis pharis,iNaturalist,POINT (34.7713327146 0.1733127054),34.7713327146,0.1733127054
34.8537742084,0.2551750575,Eurytela hiarbas,iNaturalist,POINT (34.8537742084 0.2551750575),34.8537742084,0.2551750575
34.877791047,0.3403422785,Papilio phorcas,iNaturalist,POINT (34.877791047 0.3403422784999999),34.877791047,0.3403422785
34.8953566667,0.2258583333,Junonia gregorii,iNaturalist,POINT (34.8953566667 0.2258583333000001),34.8953566667,0.2258583333
34.9494555556,0.1339305556,Nymphalidae,iNaturalist,POINT (34.949455555600004 0.1339305556),34.9494555556,0.1339305556
35.25,0.11,BOLD:ACF2797,GBIF,POINT (35.25 0.11),35.25,0.11
34.864,0.256,Anaphe panda,GBIF,POINT (34.864 0.256),34.864,0.256
34.9917789113,0.0818225678,Cyrestis camillus,iNaturalist,POINT (34.9917789113 0.0818225678),34.9917789113,0.0818225678
35.0108333,0.1108333,Stephenia,iNaturalist,POINT (35.0108333 0.1108333),35.0108333,0.1108333
34.8892862941,0.2073877639,Junonia gregorii,iNaturalist,POINT (34.8892862941 0.2073877639),34.8892862941,0.2073877639
34.87918,0.3529216667,Junonia gregorii,iNaturalist,POINT (34.87918 0.3529216666999999),34.87918,0.3529216667
34.8921873103,0.2215399504,Protogoniomorpha parhassus,iNaturalist,POINT (34.8921873103 0.2215399504),34.8921873103,0.2215399504
34.8742103613,0.2449898666,Cymothoe hobarti,iNaturalist,POINT (34.8742103613 0.2449898666),34.8742103613,0.2449898666
34.93021333,0.21069667,Cyrestis camillus,iNaturalist,POINT (34.93021333 0.21069667),34.93021333,0.21069667
34.9013222222,0.2177777778,Nymphalidae,iNaturalist,POINT (34.9013222222 0.2177777778),34.9013222222,0.2177777778
34.7679568,-0.0917016,Pinacopteryx eriphia,iNaturalist,POINT (34.7679568 -0.0917016),34.7679568,-0.0917016
34.8844867,0.1687462,Rubraea egina,iNaturalist,POINT (34.884486700000004 0.1687462),34.8844867,0.1687462
34.8536214,0.19996,Evena,iNaturalist,POINT (34.8536214 0.1999599999999999),34.8536214,0.19996
34.8783653943,0.2738126113,Vanessula milca,iNaturalist,POINT (34.8783653943 0.2738126113),34.8783653943,0.2738126113
34.8317575227,0.2721888917,Eurema floricola,iNaturalist,POINT (34.8317575227 0.2721888917),34.8317575227,0.2721888917
34.85003,0.310873,Hypolimnas monteironis major,iNaturalist,POINT (34.85003 0.310873),34.85003,0.310873
34.880316778,0.2607281589,Telchinia,iNaturalist,POINT (34.880316778 0.2607281589),34.880316778,0.2607281589
34.8852516667,0.2212966667,Junonia gregorii,iNaturalist,POINT (34.8852516667 0.2212966667),34.8852516667,0.2212966667
34.8301178441,0.2947375499,Amauris albimaculata,iNaturalist,POINT (34.8301178441 0.2947375499),34.8301178441,0.2947375499
34.8747200665,0.2780720247,Cymothoe lurida,iNaturalist,POINT (34.8747200665 0.2780720247),34.8747200665,0.2780720247
34.8995885292,0.2047370701,Evena crithea,iNaturalist,POINT (34.8995885292 0.2047370701),34.8995885292,0.2047370701
34.8949289617,0.2831750457,Neptis,iNaturalist,POINT (34.8949289617 0.2831750457),34.8949289617,0.2831750457
34.7944233333,-0.052845,Junonia sophia infracta,iNaturalist,POINT (34.7944233333 -0.052845),34.7944233333,-0.052845
35.2109783333,0.2464816667,Junonia sophia,iNaturalist,POINT (35.2109783333 0.2464816667),35.2109783333,0.2464816667
34.9191977643,0.2975016068,Telchinia perenna,iNaturalist,POINT (34.9191977643 0.2975016067999999),34.9191977643,0.2975016068
34.8499823195,0.2937740847,Vanessula milca,iNaturalist,POINT (34.8499823195 0.2937740847),34.8499823195,0.2937740847
34.8961276934,0.2499918158,Telchinia lycoa,iNaturalist,POINT (34.8961276934 0.2499918158),34.8961276934,0.2499918158
34.6778320563,0.3359385452,Junonia gregorii,iNaturalist,POINT (34.6778320563 0.3359385452),34.6778320563,0.3359385452
34.8657334976,0.3420078507,Papilio chrapkowskii,iNaturalist,POINT (34.8657334976 0.3420078507),34.8657334976,0.3420078507
34.8771891789,0.2128067341,Junonia temora,iNaturalist,POINT (34.8771891789 0.2128067341),34.8771891789,0.2128067341
34.8685928363,0.3067629746,Junonia temora temora,iNaturalist,POINT (34.8685928363 0.3067629746),34.8685928363,0.3067629746
34.9155689882,0.2777052204,Junonia sophia,iNaturalist,POINT (34.9155689882 0.2777052204000001),34.9155689882,0.2777052204
34.907068,0.1592104,Junonia gregorii,iNaturalist,POINT (34.907068 0.1592104),34.907068,0.1592104
34.9048194161,0.2564961864,Evena crithea,iNaturalist,POINT (34.9048194161 0.2564961863999999),34.9048194161,0.2564961864
34.8944444,0.2666667,Cymothoe hobarti,iNaturalist,POINT (34.8944444 0.2666667),34.8944444,0.2666667
34.8461750186,0.3144996465,Hypolimnas monteironis,iNaturalist,POINT (34.8461750186 0.3144996465000001),34.8461750186,0.3144996465
34.8647448192,0.1969313017,Telchinia lycoa,iNaturalist,POINT (34.8647448192 0.1969313017),34.8647448192,0.1969313017
34.852971651,0.3422963091,Hypolimnas monteironis major,iNaturalist,POINT (34.852971651 0.3422963091),34.852971651,0.3422963091
34.8949288307,0.2776818635,Euphaedra rex,iNaturalist,POINT (34.8949288307 0.2776818635),34.8949288307,0.2776818635
34.844195073,0.2782332686,Neptis metella,iNaturalist,POINT (34.844195073 0.2782332686),34.844195073,0.2782332686
34.9072504789,0.2480116937,Junonia sophia infracta,iNaturalist,POINT (34.9072504789 0.2480116937),34.9072504789,0.2480116937
34.8270887899,0.3162921473,Charaxes smaragdalis,iNaturalist,POINT (34.8270887899 0.3162921473),34.8270887899,0.3162921473
34.9003096522,0.3227291106,Eurema desjardinsii regularis,iNaturalist,POINT (34.9003096522 0.3227291106),34.9003096522,0.3227291106
34.7575690597,-0.0680878178,Belenois,iNaturalist,POINT (34.7575690597 -0.0680878178),34.7575690597,-0.0680878178
