longitude,latitude,species_name,source,lon,lat
34.7538376517,-0.0903283107,Hesperiinae,iNaturalist,34.7538376517,-0.0903283107
34.8840083333,0.22775,Amauris echeria,iNaturalist,34.8840083333,0.22775
34.8863909116,0.19948816,Hypolimnas dinarcha grandis,iNaturalist,34.8863909116,0.19948816
34.7473068696,-0.1124718654,Junonia terea,iNaturalist,34.7473068696,-0.1124718654
34.8806310808,0.2553078861,Hypolimnas dinarcha,iNaturalist,34.8806310808,0.2553078861
34.866452,0.238867,Evena crithea,iNaturalist,34.866452,0.238867
34.868723378,0.2993329357,Belenois aurota aurota,iNaturalist,34.868723378,0.2993329357
34.8658083156,0.3479009575,Evena crithea,iNaturalist,34.8658083156,0.3479009575
34.8561335,0.2916832,Euphaedrana,iNaturalist,34.8561335,0.2916832
34.8954208254,0.2307626239,Cymothoe hobarti hobarti,iNaturalist,34.8954208254,0.2307626239
34.8968916667,0.2214533333,Nymphalidae,iNaturalist,34.8968916667,0.2214533333
35.0195388804,0.0723509594,Junonia gregorii,iNaturalist,35.0195388804,0.0723509594
34.9031686977,0.2996543654,Bebearia,iNaturalist,34.9031686977,0.2996543654
34.877124742,0.2056135014,Cymothoe hobarti,iNaturalist,34.877124742,0.2056135014
34.8633624127,0.2786397443,Hesperiinae,iNaturalist,34.8633624127,0.2786397443
34.7582556633,-0.0536682218,Catopsilia,iNaturalist,34.7582556633,-0.0536682218
34.8925822851,0.2413982088,Charaxes brutus,iNaturalist,34.8925822851,0.2413982088
34.8715294229,0.1977957736,Bebearia,iNaturalist,34.8715294229,0.1977957736
34.9060123746,0.090190008,Melanitis,iNaturalist,34.9060123746,0.090190008
34.7637488678,-0.0804474222,Junonia chorimene,iNaturalist,34.7637488678,-0.0804474222
34.882755,0.21739,Papilionoidea,iNaturalist,34.882755,0.21739
34.873851903,0.3093737705,Cymothoe,iNaturalist,34.873851903,0.3093737705
34.87889294,0.2806357914,Leptosia alcesta,iNaturalist,34.87889294,0.2806357914
34.9239227703,0.2121903925,Libythea labdaca,iNaturalist,34.9239227703,0.2121903925
34.7619086131,-0.0970469696,Papilio demodocus,iNaturalist,34.7619086131,-0.0970469696
34.9083695781,0.2220404731,Belenois raffrayi,iNaturalist,34.9083695781,0.2220404731
34.8792498931,0.2462102718,Junonia gregorii,iNaturalist,34.8792498931,0.2462102718
34.9203383178,-0.1744385349,Libythea lepita,iNaturalist,34.9203383178,-0.1744385349
34.8700415205,0.2291150632,Evena crithea,iNaturalist,34.8700415205,0.2291150632
34.7086305544,0.0474539717,Papilio demodocus,iNaturalist,34.7086305544,0.0474539717
34.8547023381,0.3163918935,Tagiadinae,iNaturalist,34.8547023381,0.3163918935
34.792228,-0.046678,Hypolimnas misippus,iNaturalist,34.792228,-0.046678
34.8284060842,0.2782523192,Junonia temora,iNaturalist,34.8284060842,0.2782523192
34.894929007,0.2914146643,Ypthima asterope,iNaturalist,34.894929007,0.2914146643
34.9336431439,0.280972934,Amauris,iNaturalist,34.9336431439,0.280972934
35.2238866667,0.102655,Junonia sophia,iNaturalist,35.2238866667,0.102655
34.8590488215,0.2502153318,Acraeini,iNaturalist,34.8590488215,0.2502153318
